cum_buys_sol,entry_price_sol,tokens_for_1sol,eff_cost_sol,price_after_sol,nav_sol,redeem_price_after_fees_sol,backing_pct,pool_sol,instant_roundtrip_sol,instant_pnl_pct
1,1,0.97,1.030927835,1.091570649,1.020618557,0.9593814433,93.5,0.99,0.9306,-6.94
2,1.091570649,0.850175241,1.17622809,1.163430318,1.087807347,1.022538906,93.5,1.98,0.869337261,-13.0662739
3,1.163430318,0.814198791,1.228201283,1.205778128,1.127402549,1.059758397,93.5,2.97,0.8628540052,-13.71459948
4,1.205778128,0.791488044,1.263442964,1.236271053,1.155913435,1.086558629,93.5,3.96,0.8599981639,-14.00018361
5,1.236271053,0.774967501,1.290376692,1.260255278,1.178338685,1.107638364,93.5,4.95,0.8583837349,-14.16162651
6,1.260255278,0.76203204,1.31228078,1.280096377,1.196890113,1.125076706,93.5,5.94,0.8573444974,-14.26555026
7,1.280096377,0.751431147,1.330793918,1.297057223,1.212748504,1.139983594,93.5,6.93,0.8566191793,-14.33808207
8,1.297057223,0.742468659,1.346858198,1.311894258,1.226621131,1.153023863,93.5,7.92,0.8560840815,-14.39159185
9,1.311894258,0.734717683,1.36106701,1.325097608,1.238966264,1.164628288,93.5,8.91,0.8556729974,-14.43270026
10,1.325097608,0.727897856,1.373819131,1.337003573,1.250098341,1.17509244,93.5,9.9,0.8553472679,-14.46527321
11,1.337003573,0.721815337,1.385395888,1.347853215,1.260242756,1.184628191,93.5,10.89,0.8550827968,-14.49172032
12,1.347853215,0.716330633,1.396003401,1.357825404,1.269566752,1.193392747,93.5,11.88,0.8548637821,-14.51362179
13,1.357825404,0.711340086,1.405797339,1.367056624,1.278197943,1.201506067,93.5,12.87,0.8546794288,-14.53205712
14,1.367056624,0.706764609,1.414898238,1.375653458,1.286235984,1.209061825,93.5,13.86,0.8545221077,-14.54778923
15,1.375653458,0.702542524,1.423401383,1.383700776,1.293760225,1.216134612,93.5,14.85,0.8543862797,-14.56137203
16,1.383700776,0.698624819,1.431383445,1.391267284,1.300834911,1.222784816,93.5,15.84,0.8542678209,-14.57321791
17,1.391267284,0.694971916,1.438907065,1.398409415,1.307512803,1.229062035,93.5,16.83,0.8541635972,-14.58364028
18,1.398409415,0.691551412,1.446024088,1.405174096,1.31383778,1.235007513,93.5,17.82,0.8540711895,-14.59288105
19,1.405174096,0.688336446,1.452777934,1.411600787,1.319846736,1.240655932,93.5,18.81,0.853988695,-14.6011305
20,1.411600787,0.685304513,1.459205333,1.417722993,1.325570999,1.246036739,93.5,19.8,0.8539146005,-14.60853995
21,1.417722993,0.682436572,1.465337646,1.423569411,1.331037399,1.251175155,93.5,20.79,0.8538476839,-14.61523161
22,1.423569411,0.679716376,1.471201865,1.429164813,1.3362691,1.256092954,93.5,21.78,0.8537869507,-14.62130493
23,1.429164813,0.677129952,1.476821395,1.434530737,1.341286239,1.260809065,93.5,22.77,0.8537315816,-14.62684184
24,1.434530737,0.674665199,1.482216663,1.439686028,1.346106436,1.26534005,93.5,23.76,0.8536808968,-14.63191032
