sell_n,tokens_sold,seller_receives_sol,nav_sol,redeem_price_sol,price_frozen_sol,pool_sol
1,0.57561336,0.94,1.737453094,1.633205908,1.858050541,494.05
2,0.575555106,0.940000001,1.737629288,1.633371531,1.858050541,493.1
3,0.575496745,0.940000001,1.737805841,1.63353749,1.858050541,492.15
4,0.575438277,0.94,1.737982753,1.633703787,1.858050541,491.2
5,0.575379703,0.940000001,1.738160025,1.633870424,1.858050541,490.25
6,0.57532102,0.94,1.738337661,1.634037401,1.858050541,489.3
7,0.57526223,0.940000001,1.738515659,1.63420472,1.858050541,488.35
8,0.575203331,0.94,1.738694024,1.634372382,1.858050541,487.4
9,0.575144324,0.94,1.738872755,1.634540389,1.858050541,486.45
10,0.575085208,0.940000001,1.739051854,1.634708742,1.858050541,485.5
11,0.575025982,0.940000001,1.739231322,1.634877443,1.858050541,484.55
12,0.574966645,0.94,1.739411162,1.635046492,1.858050541,483.6
13,0.574907199,0.940000001,1.739591375,1.635215892,1.858050541,482.65
14,0.574847642,0.940000001,1.739771961,1.635385644,1.858050541,481.7
15,0.574787973,0.940000001,1.739952924,1.635555748,1.858050541,480.75
16,0.574728193,0.940000001,1.740134263,1.635726207,1.858050541,479.8
17,0.5746683,0.94,1.740315981,1.635897023,1.858050541,478.85
18,0.574608295,0.94,1.74049808,1.636068195,1.858050541,477.9
19,0.574548177,0.94,1.74068056,1.636239727,1.858050541,476.95
20,0.574487946,0.940000001,1.740863424,1.636411619,1.858050541,476
21,0.5744276,0.94,1.741046673,1.636583873,1.858050541,475.05
22,0.574367141,0.940000001,1.741230308,1.63675649,1.858050541,474.1
23,0.574306566,0.940000001,1.741414332,1.636929472,1.858050541,473.15
24,0.574245876,0.94,1.741598745,1.63710282,1.858050541,472.2
25,0.574185071,0.940000001,1.74178355,1.637276537,1.858050541,471.25
26,0.57412415,0.940000001,1.741968747,1.637450623,1.858050541,470.3
27,0.574063111,0.94,1.74215434,1.637625079,1.858050541,469.35
28,0.574001956,0.94,1.742340328,1.637799908,1.858050541,468.4
29,0.573940684,0.940000001,1.742526715,1.637975112,1.858050541,467.45
30,0.573879293,0.94,1.742713501,1.638150691,1.858050541,466.5
31,0.573817784,0.940000001,1.742900688,1.638326647,1.858050541,465.55
32,0.573756156,0.94,1.743088278,1.638502981,1.858050541,464.6
33,0.573694409,0.940000001,1.743276273,1.638679697,1.858050541,463.65
34,0.573632542,0.940000001,1.743464674,1.638856794,1.858050541,462.7
35,0.573570554,0.94,1.743653483,1.639034274,1.858050541,461.75
36,0.573508446,0.940000001,1.743842702,1.63921214,1.858050541,460.8
37,0.573446216,0.94,1.744032333,1.639390393,1.858050541,459.85
38,0.573383865,0.940000001,1.744222377,1.639569034,1.858050541,458.9
39,0.573321391,0.940000001,1.744412836,1.639748066,1.858050541,457.95
40,0.573258794,0.94,1.744603711,1.639927489,1.858050541,457
41,0.573196075,0.940000001,1.744795006,1.640107305,1.858050541,456.05
42,0.573133231,0.94,1.74498672,1.640287517,1.858050541,455.1
43,0.573070263,0.94,1.745178857,1.640468126,1.858050541,454.15
44,0.573007171,0.940000001,1.745371418,1.640649133,1.858050541,453.2
45,0.572943953,0.940000001,1.745564405,1.64083054,1.858050541,452.25
46,0.572880609,0.940000001,1.745757819,1.64101235,1.858050541,451.3
47,0.572817139,0.940000001,1.745951663,1.641194563,1.858050541,450.35
48,0.572753542,0.940000001,1.746145938,1.641377182,1.858050541,449.4
49,0.572689818,0.940000001,1.746340647,1.641560208,1.858050541,448.45
50,0.572625966,0.940000001,1.74653579,1.641743643,1.858050541,447.5
51,0.572561985,0.94,1.746731371,1.641927489,1.858050541,446.55
52,0.572497876,0.940000001,1.746927391,1.642111747,1.858050541,445.6
53,0.572433637,0.940000001,1.747123851,1.64229642,1.858050541,444.65
54,0.572369268,0.940000001,1.747320755,1.642481509,1.858050541,443.7
55,0.572304768,0.940000001,1.747518103,1.642667017,1.858050541,442.75
56,0.572240137,0.94,1.747715898,1.642852944,1.858050541,441.8
57,0.572175375,0.940000001,1.747914141,1.643039293,1.858050541,440.85
58,0.57211048,0.94,1.748112836,1.643226065,1.858050541,439.9
59,0.572045453,0.94,1.748311983,1.643413264,1.858050541,438.95
60,0.571980292,0.94,1.748511584,1.643600889,1.858050541,438
61,0.571914998,0.940000001,1.748711643,1.643788944,1.858050541,437.05
